,Year,Type,Country,Activity,sex,Injury,Fatal
5059,1929,Unprovoked,AUSTRALIA,Pearl diving,MALE,Injuries to chest & arm,NO
5060,1929,Unprovoked,UNKNOWN,UNKNOWN,MALE,FATAL,YES
5061,1929,Unprovoked,AUSTRALIA,UNKNOWN,MALE,FATAL,YES
5062,1929,Sea Disaster,KIRIBATI,"Sea Disaster, wreck of the  SS Norwich City",MALE,"11 of her crew perished, most, possibly all, deaths were due to drowning",YES
5063,1929,Unprovoked,CUBA,Fishing,MALE,"Shark attacked his boat, threatening to capsize it. He jumped overboard & shark bit his arm. He knifed & killed shark. Later his arm was surgically amputated",NO
5064,1929,Unprovoked,AUSTRALIA,Pearl diving,MALE,Heel injured,NO
5065,1929,Unprovoked,SPAIN,Fishing ,MALE,Arm injured when sharks rammed his boat,NO
5066,1929,Unprovoked,AUSTRALIA,Fell from wharf into water & attacked immediately,MALE,"FATAL, severe injuries to both legs ",YES
5067,1929,Unprovoked,USA,Bathing,MALE,Left foot & ankle bitten,NO
5068,1929,Unprovoked,MEXICO,Swimming,MALE,Right leg severed below knee,NO
5069,1929,Invalid,CAPE VERDE,UNKNOWN,FEMALE,Body of woman recovered from 15' shark,UNKNOWN
5070,1929,Provoked,USA,Fishing,MALE,Leg bitten by hooked shark PROVOKED INCIDENT,NO
5071,1929,Unprovoked,AUSTRALIA,Pearl diving,MALE,"Injuries to both legs, buttocks, back, lower abdomen & chest",NO
5072,1929,Unprovoked,AUSTRALIA,Diving for trepang,MALE,Thigh bitten,NO
5073,1929,Unprovoked,AUSTRALIA,Diving for trochus,MALE,Lacerations to right wrist,NO
5074,1929,Provoked,AUSTRALIA,Standing in knee-deep water,MALE,Right calf severely bitten by shark caught in the net PROVOKED INCIDENT,NO
5076,1929,Unprovoked,AUSTRALIA,Swimming between boats,MALE,FATAL,YES
5077,1929,Unprovoked,USA,Swimming,MALE,Right sole & toes lacerated,NO
5078,1929,Unprovoked,AUSTRALIA,Bathing,MALE,FATAL,YES
5079,1929,Unprovoked,AUSTRALIA,Launching rowboat through the surf,MALE,Foot bitten,NO
5080,1929,Unprovoked,AUSTRALIA,Launching rowboat through the surf,MALE,Legs bitten,NO
5081,1929,Unprovoked,AUSTRALIA,Body surfing,MALE,"FATAL, both thighs lacerated, right foot, fingers and knee abraded, died of sepsis",YES
5082,1929,Boating,AUSTRALIA,Canoeing,UNKNOWN,"No injury, shark pushed canoe from jetty to a point 100 m away",NO
5083,1929,Unprovoked,AUSTRALIA,Swimming,MALE,"FATAL, right thigh bitten, femoral artery severed",YES
5084,1929,Unprovoked,AUSTRALIA,Swimming,MALE,"FATAL, right buttock lacerated, left arm severed above elbow,  right forearm severed by shark, both arms surgically amputated",YES
5085,1929,Unprovoked,NEW ZEALAND,Bathing,FEMALE,"One was bitten on the leg, the other on the arm",NO
5086,1929,Unprovoked,AUSTRALIA,Body surfing,MALE,"FATAL, right thigh & hip bitten",YES
5087,1929,Boating,TURKEY,Fishing boat,MALE,FATAL,YES
5088,1929,Unprovoked,FIJI,Diving for coins thrown from ship S.S. Moeraki,MALE,"FATAL, hand severed, both legs & arms bitten & nearly severed ",YES
5089,1929,Invalid,AUSTRALIA,Swimming,MALE,"Later found to be fiction, never happened",UNKNOWN
5090,1929,Provoked,AUSTRALIA,"Wading, netting fish",MALE,Bitten below the knee,NO
5091,1929,Provoked,USA,Fishing,MALE,Thigh lacerated by hooked shark PROVOKED INCIDENT,NO
5092,1929,Unprovoked,AUSTRALIA,UNKNOWN,MALE,Hand lacerated,NO
5093,1929,Unprovoked,USA,Hardhat diving ,MALE,"Put hand through hatch, shark nearly bit off thumb",NO
5094,1928,Unprovoked,AUSTRALIA,Pearl diving,MALE,Injuries to arm ,NO
5095,1928,Provoked,USA,Fishing,MALE,"Fishermen were cut & bruised by netted, harpooned and gaffed  sharks PROVOKED INCIDENT",NO
5096,1928,Boating,INDIA,UNKNOWN,MALE,"No injury to occupants, shark bit keel",NO
5097,1928,Sea Disaster,USA,"Sea Disaster, sinking of the  SS Vestris",MALE,FATAL,YES
5098,1928,Unprovoked,PANAMA,Swimming,MALE,"FATAL, multiple injuries including evisceration, 3 fractures of right arm, 5 fingers  & leg severed below knee",YES
5099,1928,Unprovoked,USA,Fishing,MALE,Knee bitten,NO
5100,1928,Invalid,USA,UNKNOWN,MALE,Thumb & coat sleeve recovered from shark's gut,UNKNOWN
5101,1928,Unprovoked,AUSTRALIA,Pearl diving,MALE,Injuries to chest,NO
