,Year,Type,Country,Activity,sex,Injury,Fatal
3190,1976,Boat,SOUTH AFRICA,UNKNOWN,UNKNOWN,"Shark leapt into boat, hitting Fanie Schoeman on his back before sliding into the sea",NO
3191,1976,Boat,SOUTH AFRICA,Shark watching,UNKNOWN,"No injury to occupants, shark rammed bow, driving its head into the hull",NO
3192,1976,Provoked,SOUTH AFRICA,Shark fishing,UNKNOWN,"No injury to occupants, After shark was harpooned & shot, it holed the boat PROVOKED INCIDENT",NO
3193,1976,Unprovoked,AUSTRALIA,UNKNOWN,FEMALE,Survived,NO
3194,1976,Provoked,SOUTH AFRICA,Fishing for snoek & yellowtail,UNKNOWN,"Hooked shark leapt onboard & into fish well, which it smashed PROVOKED INCIDENT",NO
3195,1976,Unprovoked,USA,Spearfishing / scuba diving,MALE,Puncture wounds to head & neck,NO
3196,1976,Unprovoked,NEW ZEALAND,Spearfishing,MALE,FATAL,YES
3197,1976,Unprovoked,USA,Scuba diving,MALE,"FATAL, lost consciousness at depth of 180'. Large sharks seen near partial remains of body",YES
3198,1975,Boat,AUSTRALIA,Attempting to drive shark away from the beach,UNKNOWN,"No injury, shark charged & rammed boat several times",NO
3199,1975,Unprovoked,USA,Scuba diving & spearfishing,MALE,Leg bitten,NO
3200,1975,Provoked,AUSTRALIA,Filming & feeding captive sharks,MALE,Tooth mark in left elbow PROVOKED INCIDENT,NO
3201,1975,Unprovoked,AUSTRALIA,Standing,MALE,Laceration to posterior thigh,NO
3202,1975,Unprovoked,SOUTH AFRICA,Standing,MALE,Left foot lacerated,NO
3203,1975,Unprovoked,AUSTRALIA,UNKNOWN,MALE,Puncture wounds in hand,NO
3204,1975,Unprovoked,USA,Surfing,MALE,Foot bitten,NO
3205,1975,Invalid,USA,Surf fishing,MALE,"""Tooth marks"" in left leg",UNKNOWN
3206,1975,Unprovoked,AUSTRALIA,Surfing,MALE,"Cracked jaw & broken tooth, shark took chunk out of surfboard",NO
3207,1975,Invalid,USA,Surfing,UNKNOWN,,UNKNOWN
3208,1975,Unprovoked,SOUTH AFRICA,Paddleskiing,MALE,Right foot & ankle lacerated,NO
3209,1975,Unprovoked,SOUTH AFRICA,Surfing,MALE,Left leg & surfboard bitten,NO
3210,1975,Unprovoked,USA,Floating on a small orange raft ,MALE,"Calf bitten, leg surgically amputated below the knee  Note: by late August, 3 more bathers had been bitten by sharks at Daytona Beach",NO
3211,1975,Unprovoked,USA,Free diving for abalone,MALE,"Shoulder, arm & hand lacerated",NO
3212,1975,Unprovoked,HONG KONG,Freedom swimming,MALE,"Leg bitten, surgically amputated",NO
3213,1975,Sea Disaster,USA,Sea disaster,FEMALE,"FATAL, arms & legs bitten",YES
3214,1975,Unprovoked,AUSTRALIA,Scuba diving for abalone,MALE,FATAL,YES
3215,1975,Unprovoked,USA,Free diving,MALE,Forearms lacerated,NO
3216,1975,Unprovoked,AUSTRALIA,Surfing,MALE,Buttocks & leg bitten,NO
3217,1975,Unprovoked,USA,Scuba diving for abalone (at surface),MALE,Legs bitten,NO
3218,1975,Unprovoked,USA,Hookah diving for abalone,MALE,"No injury, swim fin torn",NO
3219,1975,Unprovoked,USA,Swimming,FEMALE,Arm lacerated,NO
3220,1975,Provoked,AUSTRALIA,Spearfishing,MALE,Speared shark bit his arm  between elbow and shoulder PROVOKED INCIDENT,NO
3221,1975,Unprovoked,USA,Surfing,MALE,"Foot bitten, tendons damaged",NO
3222,1975,Unprovoked,USA,Swimming ,MALE,Lacerations to right foot,NO
3223,1975,Unprovoked,USA,Standing,FEMALE,Hand & wrist bitten,NO
3224,1975,Unprovoked,USA,Swimming near his boat,MALE,Left leg bitten,NO
3225,1975,Unprovoked,USA,Surfing,MALE,"No injury, board bumped",NO
3226,1975,Provoked,USA,UNKNOWN,MALE,Slightly injured when he stepped on a shark PROVOKED INCIDENT,NO
3227,1975,Unprovoked,USA,Surfing,MALE,Right foot bitten,NO
3228,1975,Unprovoked,USA,Bathing,FEMALE,Leg bitten,NO
3229,1975,Invalid,ITALY,Scuba diving,MALE,The press reported this as an attack by a white shark but the diver was the agressor,UNKNOWN
3230,1975,Invalid,SOUTH AFRICA,UNKNOWN,MALE,Probable drowning / scavenging,UNKNOWN
3231,1975,Unprovoked,SOUTH AFRICA,Spearfishing Competition,MALE,"No injury, rammed by shark",NO
3232,1975,Invalid,SOUTH AFRICA,Swimming,MALE,Probable drowning / scavenging by a white shark,UNKNOWN
3233,1975,Unprovoked,AUSTRALIA,UNKNOWN,FEMALE,Hand bitten,NO
3234,1975,Unprovoked,USA,Floating in inner tube,MALE,Left leg & foot bitten,NO
3235,1975,Provoked,AUSTRALIA,Diving & force-feeding the shark,UNKNOWN,Laceration to thigh by captive shark PROVOKED INCIDENT,NO
3236,1975,Provoked,SOUTH AFRICA,Attempting to drag hooked shark ashore by its tail,MALE,Left leg bitten  PROVOKED INCIDENT,NO
3237,1975,Sea Disaster,BANGLADESH,Ferry capsized,UNKNOWN,"FATAL, of 190 passengers & crew thrown into the water, 50 people were said to have been killed by sharks",YES
3238,1975,Unprovoked,SOUTH AFRICA,Surfing,MALE,Foot severed,NO
3239,1975,Boat,SOUTH AFRICA,UNKNOWN,UNKNOWN,Shark bit rudder & hull,NO
3240,1975,Unprovoked,AUSTRALIA,Swimming underwater from crayfish cage to a fishing bait,MALE,Right leg  severed FATAL,YES
3241,1975,Unprovoked,AUSTRALIA,Crayfishing,MALE,Puncture wounds to right shoulder,NO
3242,1975,Unprovoked,AUSTRALIA,UNKNOWN,MALE,Survived,NO
3243,1975,Provoked,SOUTH AFRICA,Fishing,MALE,Foot bitten by shark he was gaffing  PROVOKED INCIDENT,NO
3244,1975,Unprovoked,AUSTRALIA,Surfing,MALE,"FATAL, body not recovered",YES
3245,1975,Unprovoked,BERMUDA,Spearfishing,MALE,Laceration to right ankle,NO
3246,1975,Unprovoked,REUNION,UNKNOWN,MALE,FATAL,YES
3247,1974,Unprovoked,AUSTRALIA,UNKNOWN,UNKNOWN,Survived,NO
3248,1974,Unprovoked,USA,Standing,MALE,Laceration to foot,NO
3249,1974,Unprovoked,USA,Surfing,MALE,"Thigh, lower back and surfboard bitten",NO
3250,1974,Unprovoked,USA,Hookah diving for abalone,MALE,Major injuries,NO
3251,1974,Unprovoked,ISRAEL,Swimming,FEMALE,"Bitten 12 times: multiple lacerations on hands, arms, shoulder breast thigh, both legs, left forearm surgically amputated ",NO
3252,1974,Unprovoked,USA,Scuba diving (but on surface),MALE,Minor injuries to hand,NO
3253,1974,Unprovoked,USA,Scuba diving (but on surface),MALE,Minor bite on foot & swimfin,NO
3254,1974,Sea Disaster,AUSTRALIA,3.3 m fishing boat sank. Treveluwe & Peter Hodgson (wearing lifejackets) were drifting in the current,MALE,"Missing, believed taken by a shark",NO
3255,1974,Unprovoked,USA,Surfing,MALE,No injury,NO
3256,1974,Unprovoked,HONG KONG,Freedom Swimming,MALE,Survived,NO
3257,1974,Unprovoked,HONG KONG,Freedom swimming,MALE,FATAL,YES
3258,1974,Unprovoked,HONG KONG,Freedom swimming,MALE,Arm broken & severely lacerated,NO
3259,1974,Unprovoked,HONG KONG,Freedom swimming,MALE,Left foot bitten,NO
3260,1974,Unprovoked,CROATIA,UNKNOWN,MALE,Foot severed FATAL,YES
3261,1974,Unprovoked,USA,Surfing,MALE,Minor injuries to hand,NO
3262,1974,Unprovoked,USA,Free diving for abalone (submerged),MALE,Minor bite on heel & swim fin bitten,NO
3263,1974,Unprovoked,USA,Swimming,MALE,FATAL,YES
3264,1974,Sea Disaster,USA,Adrift after the sinking of the motor yacht Princess Dianne,MALE,Arm bitten FATAL,YES
3265,1974,Unprovoked,USA,Swimming,FEMALE,Lacerations to hip and leg,NO
3266,1974,Unprovoked,USA,Free diving (but on surface),MALE,Leg bitten,NO
3267,1974,Sea Disaster,BRAZIL,Fishing boat swamped in a storm,MALE,FATAL,YES
3268,1974,Unprovoked,SOUTH AFRICA,Spearfishing,MALE,Left knee lacerated,NO
3269,1974,Unprovoked,SOUTH AFRICA,Standing,MALE,Lower right leg lacerated,NO
3270,1974,Unprovoked,USA,Swimming,FEMALE,Foot bitten,NO
3271,1974,Unprovoked,SOUTH AFRICA,Surfing,MALE,Right foot lacerated,NO
3272,1974,Unprovoked,SOUTH AFRICA,Surfing,MALE,"No injury, surfboard bitten",NO
3273,1974,Boat,SOUTH AFRICA,Fishing for kob,UNKNOWN,"No injury to occupant, shark holed boat",NO
3274,1974,Unprovoked,SOUTH AFRICA,Swimming,MALE,"Right calf removed, leg surgically amputated below the knee",NO
3275,1974,Unprovoked,SOUTH AFRICA,Swimming,MALE,Right shin lacerated,NO
3276,1974,Boat,SOUTH AFRICA,Fishing for red fish,UNKNOWN,"No injury to occupant, but  a shark chasing a hooked fish holed his boat above the waterline",NO
3277,1974,Boat,SOUTH AFRICA,Fishing for kob,UNKNOWN,"No injury,  shark leapt into boat & bit one of the boat's seats",NO
3278,1974,Unprovoked,SOUTH AFRICA,Sitting,MALE,2 minor lacerations in foot,NO
3279,1974,Unprovoked,AUSTRALIA,Diving for abalone,MALE,"FATAL, right leg severed  ",YES
3280,1974,Unprovoked,SOUTH AFRICA,Swimming,MALE,Knee & calf lacerated,NO
3281,1974,Unprovoked,MOZAMBIQUE,Swimming,MALE,FATAL,YES
3283,1974,Unprovoked,AUSTRALIA,Spearfishing,MALE,8 to 10 puncture marks around knee,NO
3284,1974,Unprovoked,CROATIA,UNKNOWN,UNKNOWN,FATAL,YES
3285,1973,Unprovoked,MOZAMBIQUE,Spearfishing,MALE,"Right leg severed at knee, abrasion on left ankle",NO
3286,1973,Unprovoked,MOZAMBIQUE,Swimming ,MALE,FATAL,YES
3287,1973,Unprovoked,PHILIPPINES,Swimming,MALE,FATAL,YES
3288,1973,Unprovoked,USA,Swimming,MALE,Leg bitten,NO
3289,1973,Unprovoked,MEXICO,Swimming alongside yacht Mexico Fiesta,MALE,FATAL,YES
3290,1973,Unprovoked,AUSTRALIA,UNKNOWN,UNKNOWN,Survived,NO
3291,1973,Unprovoked,USA,Surfing,MALE,Foot bitten,NO
3292,1973,Unprovoked,AUSTRALIA,UNKNOWN,MALE,Knee lacerated,NO
3293,1973,Sea Disaster,SOUTH AFRICA,Being pulled to shore from wreck of 25-ton fishing vessel Alan S,MALE,"FATAL, thigh bitten ",YES
3294,1973,Unprovoked,BAHAMAS,"Free diving, Spearfishing",MALE,Left hand & forearm lacerated,NO
3295,1973,Unprovoked,HONG KONG,Freedom Swimming,MALE,FATAL,YES
3296,1973,Unprovoked,MEXICO,"Free diving, Spearfishing",MALE,"FATAL, leg bitten ",YES
3297,1973,Unprovoked,EGYPT,UNKNOWN,MALE,Massive wound on right thigh with femur exposed,NO
3298,1973,Unprovoked,AUSTRALIA,UNKNOWN,UNKNOWN,,UNKNOWN
3299,1973,Unprovoked,AUSTRALIA,Surfing,MALE,Right foot severed,NO
3300,1973,Unprovoked,USA,Crabbing (spearing crabs),MALE,Elbow bitten,NO
3301,1973,Unprovoked,HONG KONG,Freedom Swimming,MALE,"One man was killed by a shark, the other was injured",NO
3302,1973,Unprovoked,MEXICO,Wading,MALE,"FATAL, multiple bites ",YES
3303,1973,Unprovoked,AUSTRALIA,UNKNOWN,MALE,Survived,NO
3304,1973,Unprovoked,MOZAMBIQUE,Spearfishing,MALE,FATAL,YES
3305,1973,Unprovoked,SOUTH AFRICA,Spearfishing,MALE,Hip bruised,NO
3306,1973,Unprovoked,MEXICO,Swimming,UNKNOWN,"FATAL, multiple bites ",YES
3307,1973,Provoked,SOUTH AFRICA,Fishing from paddleski,MALE,Hooked & gaffed shark bit his right elbow PROVOKED INCIDENT,NO
3308,1973,Unprovoked,USA,Surfing,MALE,Leg bitten,NO
3309,1973,Unprovoked,PALAU,Scuba diving (submerged),MALE,"No injury, shark grabbed scuba tank and descended to 110' before releasing him ",NO
3310,1973,Unprovoked,PALAU,Scuba diving & U/W photography,MALE,Hand & right shoulder lacerated,NO
3311,1973,Unprovoked,SOUTH AFRICA,Surfing,MALE,"No injury, surboard flung into air & dented",NO
3312,1972,Unprovoked,SOUTH AFRICA,Treading water,MALE,Lower left leg & foot bitten,NO
3313,1972,Unprovoked,MOZAMBIQUE,Swimming,MALE,"Hip, leg, arm, hand & shoulder bitten",NO
3314,1972,Unprovoked,MEXICO,Body surfing,MALE,"FATAL, hand severed, right leg and torso bitten ",YES
3315,1972,Unprovoked,SOUTH AFRICA,Swimming,MALE,"No injury, swim fin bitten",NO
3316,1972,Unprovoked,AUSTRALIA,UNKNOWN,MALE,Hand bitten,NO
3317,1972,Provoked,AUSTRALIA,UNKNOWN,UNKNOWN,PROVOKED INCIDENT,NO
3318,1972,Unprovoked,REUNION,Spearfishing,UNKNOWN,FATAL,YES
3319,1972,Unprovoked,AUSTRALIA,Spearfishing,MALE,Right arm bitten,NO
3320,1972,Unprovoked,AUSTRALIA,Surfing,MALE,Lacerations to thigh & buttocks,NO
3321,1972,Unprovoked,USA,Scuba diving,MALE,"FATAL, body not recovered",YES
3322,1972,Unprovoked,USA,Surfing,MALE,Survived,NO
3323,1972,Unprovoked,NEW ZEALAND,Swimming,MALE,"No injury, leg of jeans torn off",NO
3324,1972,Unprovoked,USA,Surfing,MALE,Legs & board bitten,NO
3325,1972,Invalid,MOZAMBIQUE,Swimming,FEMALE,Feet injured,UNKNOWN
3326,1972,Unprovoked,USA,Surfing,MALE,Left calf bitten,NO
3327,1972,Unprovoked,USA,Spearfishing,MALE,Forearm bitten,NO
3328,1972,Unprovoked,AUSTRALIA,Diving for abalone,MALE,Left foot bitten,NO
3329,1972,Invalid,USA,Diving,UNKNOWN,Sharks reportedly bit legs & fins ,UNKNOWN
3330,1972,Unprovoked,AUSTRALIA,UNKNOWN,MALE,FATAL,YES
3332,1972,Unprovoked,USA,Surfing,MALE,Buttocks bitten,NO
3333,1972,Unprovoked,USA,Free diving for abalone,MALE,Bitten on legs & buttock,NO
3334,1972,Unprovoked,FRENCH POLYNESIA,Spearfishing,MALE,Thigh bitten,NO
3335,1972,Unprovoked,WESTERN SAMOA,Swimming,MALE,FATAL,YES
3336,1972,Unprovoked,AUSTRALIA,UNKNOWN,FEMALE,Left leg bitten,NO
3337,1972,Unprovoked,MOZAMBIQUE,Swimming,MALE,FATAL,YES
3338,1972,Provoked,PACIFIC OCEAN ,Fishing,MALE,Arm bitten by hooked shark PROVOKED INCIDENT,NO
3339,1972,Unprovoked,USA,Spearfishing,MALE,Leg bitten,NO
3340,1972,Unprovoked,AUSTRALIA,Surfing,MALE,Laceration above knee,NO
3341,1972,Unprovoked,AUSTRALIA,UNKNOWN,UNKNOWN,Survived,NO
3342,1972,Unprovoked,SOUTH AFRICA,Swimming,MALE,"FATAL, coroner's Verdict: ""Death presumably through shark attack & drowning""",YES
3343,1972,Unprovoked,SOUTH AFRICA,Sitting in shallows,FEMALE,Foot bitten,NO
3344,1972,Unprovoked,MOZAMBIQUE,Standing,MALE,"Leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",NO
3345,1972,Unprovoked,FRANCE,Swimming,UNKNOWN,Shoulder injured,NO
3346,1972,Unprovoked,MARSHALL ISLANDS,"Free diving, collecting shells",MALE,Right hand & torso lacerated,NO
3347,1971,Unprovoked,AUSTRALIA,UNKNOWN,UNKNOWN,Survived,NO
3348,1971,Unprovoked,SOUTH AFRICA,Swimming,FEMALE,Right forearm bitten,NO
3349,1971,Unprovoked,AUSTRALIA,UNKNOWN,MALE,FATAL,YES
3350,1971,Unprovoked,HONG KONG,Freedom Swimming,MALE,"Left leg severely bitten, surgically amputated",NO
3351,1971,Provoked,AUSTRALIA,UNKNOWN,UNKNOWN,PROVOKED INCIDENT,NO
3352,1971,Unprovoked,USA,Surfing,MALE,"Right shoulder, arm & hand bitten",NO
3353,1971,Unprovoked,SOUTH AFRICA,Swimming,MALE,Wrist & hand lacerated,NO
3354,1971,Unprovoked,USA,Scuba diving,MALE,Bitten on legs,NO
3355,1971,Unprovoked,USA,Surfing,UNKNOWN,Left foot injured,NO
3356,1971,Unprovoked,CROATIA,Swimming,MALE,FATAL,YES
3357,1971,Unprovoked,AUSTRALIA,Fishing,MALE," FATAL. Shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",YES
3358,1971,Provoked,AUSTRALIA,Scuba diving & feeding fish,MALE,Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT,NO
3359,1971,Unprovoked,USA,Wading,MALE,Laceration to left ankle,NO
3360,1971,Unprovoked,USA,Hookah diving (submerged),MALE,"Major injuries to head, buttocks & back",NO
3361,1971,Unprovoked,SOUTH AFRICA,Surfing,MALE,Leg & surfboard bitten,NO
3362,1971,Unprovoked,BRITISH ISLES,Scuba diving,MALE,"No injury, said to have been attacked by shark but drove it away with a lobster hook",NO
3363,1971,Unprovoked,KENYA,Swimming,MALE,Right foot bitten,NO
3364,1971,Unprovoked,SOUTH AFRICA,Swimming,MALE,"FATAL, multiple bites ",YES
3365,1971,Unprovoked,MEXICO,Surfing,MALE,"FATAL, left thigh bitten ",YES
3366,1971,Unprovoked,VENEZUELA,UNKNOWN,MALE,"FATAL, body not recovered",YES
3368,1971,Sea Disaster,MOZAMBIQUE,Wreck of the 1689-ton Portuguese  coaster Angoche,UNKNOWN,"FATAL, it was  thought  the surviving crew  were taken by sharks",YES
3369,1971,Unprovoked,NEW ZEALAND,Surfing,MALE,Lacerations to left leg ,NO
3370,1971,Unprovoked,AUSTRALIA,Swimming,MALE,Torso lacerated,NO
3371,1971,Unprovoked,AUSTRALIA,Surfing,MALE,Severe lacerations to thigh,NO
3372,1971,Unprovoked,IRAN,UNKNOWN,MALE,Survived,NO
3374,1970,Unprovoked,MOZAMBIQUE,Fishing for prawns,MALE,"FATAL, arm severed  ",YES
3375,1970,Unprovoked,MOZAMBIQUE,Fishing for prawns,MALE,"FATAL, decapitated and arm severed",YES
3376,1970,Unprovoked,MICRONESIA,Fishing,MALE,Laceration to thigh,NO
3377,1970,Sea Disaster,USA,Shipwreck,MALE,Right thigh lacerated,NO
3378,1970,Unprovoked,UNKNOWN,UNKNOWN,MALE,Extensive injuries,NO
3379,1970,Unprovoked,USA,Body surfing,MALE,Shoulder & arm bitten,NO
3380,1970,Unprovoked,USA,Surfing,MALE,Bitten on right leg above the ankle,NO
3381,1970,Unprovoked,MICRONESIA,Diving,MALE,Lacerations & punctures to right arm & shoulder ,NO
3382,1970,Provoked,PALAU,Spearfishing,MALE,"Another diver shot shark, shark bit his left foream  PROVOKED INCIDENT",NO
3383,1970,Unprovoked,USA,Floating on a raft,MALE,Laceration to left foot,NO
3384,1970,Provoked,AUSTRALIA,UNKNOWN,MALE,PROVOKED INCIDENT,NO
3385,1970,Unprovoked,USA,Swimming,MALE,Foot lacerated,NO
3386,1970,Unprovoked,USA,Scuba diving,MALE,Calf / knee injured?,NO
3387,1970,Invalid,UNKNOWN,Sea Disaster Sinking of ferryboat Christina,UNKNOWN,"Sharks scavenged on bodies, but no record of them injuring survivors ",UNKNOWN
3388,1970,Unprovoked,UNKNOWN,UNKNOWN,MALE,Finger or toe severed,NO
3389,1970,Provoked,USA,Fishing,MALE,Bitten on calf by hooked shark PROVOKED INCIDENT,NO
3390,1970,Provoked,SOUTH AFRICA,Scuba Diving,MALE,2 cm laceration on knee PROVOKED INCIDENT,NO
3391,1970,Unprovoked,GRENADA,Wading,MALE,"FATAL, multiple injuries to both legs  ",YES
3392,1970,Unprovoked,GRENADA,Wading,MALE,"FATAL, body not recovered",YES
3393,1970,Sea Disaster,PHILIPPINES,Motor launch Baby Princesa capsized with 22 people on board,UNKNOWN,"2 people survived, 6 drowned & the others were killed by sharks",YES
3394,1970,Unprovoked,GRENADA,Swimming,MALE,"FATAL, body not recovered",YES
3395,1970,Provoked,UNKNOWN,Freediving,MALE,Arm abraded & lacerated. Recorded as PROVOKED INCIDENT,NO
3396,1970,Unprovoked,SOLOMON ISLANDS,Swimming,MALE,No details,UNKNOWN
3397,1970,Invalid,USA,Body surfing,MALE,"Swept out to sea,  5.5 m [18'] shark seen in the vicinity, body not recovered. ",UNKNOWN
3398,1970,Unprovoked,USA,Wading,MALE,Foot & calf lacerated,NO
3399,1970,Unprovoked,UNKNOWN,Wading,FEMALE,Lacerations to lower leg,NO
3400,1970,Unprovoked,MOZAMBIQUE,Swimming,MALE,"Hands severed, forearm severely lacerated",NO
3401,1970,Unprovoked,MOZAMBIQUE,Swimming,MALE,Leg severed at knee,NO
3402,1970,Unprovoked,MOZAMBIQUE,Swimming,MALE,"Arm severed, thigh bitten",NO
3404,1970,Sea Disaster,EGYPT,Air disaster,MALE,FATAL,YES
3405,1970,Unprovoked,MEXICO,Swimming,MALE,Leg bitten,NO
3406,1970,Unprovoked,ENGLAND,Attempted to return injured shark to the sea,MALE,Leg bitten,NO
3407,1970,Unprovoked,PAPUA NEW GUINEA,Freediving,MALE,Lacerations to back,NO
3408,1970,Unprovoked,SRI LANKA,Spearfishing / freediving,MALE,Swim fins badly torn by the shark's teeth,NO
3409,1970,Unprovoked,SPAIN,Spearfishing,MALE,Minor injury,NO
3410,1970,Boat,ITALY,Fishing on a boat,MALE,No injury,NO
3411,1970,Unprovoked,CROATIA,Spearfishing,MALE,No details,UNKNOWN
3412,1970,Unprovoked,IRAQ,Washing cooking pans,FEMALE,Left hand severed,NO
3413,1970,Unprovoked,IRAQ,Washing clothes on stairs,FEMALE,Left foot severed,NO
3414,1970,Unprovoked,IRAQ,Swimming,MALE,"FATAL, left leg severed",YES
3415,1970,Unprovoked,IRAQ,"Fishing, trying to catch the end of his fishing line",MALE,Left hand bitten,NO
3416,1969,Unprovoked,AUSTRALIA,Swimming,MALE,Left thigh lacerated,NO
3417,1969,Unprovoked,USA,Scuba diving for lobsters,MALE,"Abrasions on upper leg, laceration on ankle, scuba tank bitten",NO
3418,1969,Provoked,AUSTRALIA,UNKNOWN,MALE,PROVOKED INCIDENT,NO
3419,1969,Unprovoked,USA,Diving,MALE,No injury,NO
3420,1969,Unprovoked,USA,Free diving for abalone,MALE,Leg & ankle severely bitten,NO
3421,1969,Unprovoked,USA,Floating on his back,MALE,Laceration to right leg,NO
3422,1969,Provoked,USA,Fishing,MALE,Leg bitten by netted shark PROVOKED INCIDENT,NO
3423,1969,Unprovoked,USA,Surfing,MALE,Lacerations to lower leg,NO
3424,1969,Unprovoked,USA,Body surfing,MALE,Lacerations to right lower leg & left arm and hand,NO
3425,1969,Unprovoked,UNKNOWN,UNKNOWN,MALE,Am lacerated,NO
3426,1969,Provoked,ENGLAND,UNKNOWN,MALE,Arm lacerated. Recorded as PROVOKED INCIDENT,NO
3427,1969,Provoked,USA,UNKNOWN,MALE,Scrape on head. Recorded as PROVOKED INCIDENT,NO
3428,1969,Unprovoked,USA,Freediving for abalone (at surface),MALE,"Foot bitten, minor injury",NO
3429,1969,Unprovoked,USA,Wading,MALE,No details,UNKNOWN
3430,1969,Unprovoked,JAMAICA,Diving,MALE,Multiple lacerations,NO
3431,1969,Unprovoked,USA,Wading,MALE,No injury,NO
3432,1969,Provoked,USA,Surf-fishing,MALE,Foot lacerated when he stepped on the shark  PROVOKED INCIDENT,NO
3433,1969,Provoked,USA,Diving,MALE,Laceration to buttocks Recorded as PROVOKED INCIDENT,NO
3434,1969,Unprovoked,DOMINICAN REPUBLIC,Surfing,MALE,,UNKNOWN
3435,1969,Unprovoked,AUSTRALIA,UNKNOWN,UNKNOWN,Survived,NO
3436,1969,Invalid,AUSTRALIA,Netting pilchards,MALE,No injury,UNKNOWN
3437,1969,Provoked,USA,Fishing,MALE,Laceration to foot from dead shark PROVOKED INCIDENT,NO
3438,1969,Provoked,AUSTRALIA,UNKNOWN,MALE,Foot lacerated. Recorded as PROVOKED INCIDENT,NO
3439,1969,Unprovoked,USA,Surfing,MALE,Leg & surfboard bitten,NO
3440,1969,Provoked,AUSTRALIA,Fishing,MALE,Lacerations to hand from hooked shark PROVOKED INCIDENT,NO
3441,1969,Invalid,AUSTRALIA,Hard hat diving,MALE,No details,UNKNOWN
3442,1969,Unprovoked,AUSTRALIA,Freediving,MALE,Abrasions and lacerations to lower right leg,NO
3443,1969,Unprovoked,AUSTRALIA,UNKNOWN,MALE,Minor injury ,NO
3444,1969,Provoked,BAHAMAS,Sight-seeing,UNKNOWN,"No injury to occupants, shark grabbed prop, Leodorn hit shark with oar, shark bit oar in half PROVOKED INCIDENT",NO
3445,1968,Invalid,SOUTH AFRICA,Freediving,MALE,No injury,UNKNOWN
3446,1968,Provoked,AUSTRALIA,Feeding mullet to sharks,MALE,Laceration to finger by a captive shark PROVOKED INCIDENT,NO
3447,1968,Unprovoked,NEW ZEALAND,Surfing,MALE,"Hit in face by shark, arm abraded, surfboard bitten",NO
3448,1968,Unprovoked,AUSTRALIA,UNKNOWN,MALE,Survived,NO
3449,1968,Unprovoked,SOUTH AFRICA,Spearfishing,MALE,"No injury, left elbow & torso bumped by sharks",NO
3450,1968,Invalid,SOUTH AFRICA,UNKNOWN,MALE,No injury,UNKNOWN
3451,1968,Boat,SOUTH AFRICA,Fishing,MALE,"Shark leapt into boat, landed on Hlope's back, then bit his left forearm",NO
3452,1968,Sea Disaster,PAPUA NEW GUINEA,Wreck of the Storm King,UNKNOWN,Remains recovered days later from shark,UNKNOWN
3453,1968,Provoked,AUSTRALIA,UNKNOWN,MALE,Abrasion on shoulder Recorded as PROVOKED INCIDENT,NO
3454,1968,Provoked,BAHAMAS,UNKNOWN,MALE,Calf injured Recorded as PROVOKED INCIDENT,NO
3455,1968,Unprovoked,USA,Spearfishing using Scuba,MALE,Swim fin bitten,NO
3456,1968,Sea Disaster,PHILIPPINES,Sinking of the ferryboat Dumaguete ,UNKNOWN,Survived,NO
3457,1968,Invalid,USA,Surfing,UNKNOWN,,UNKNOWN
3458,1968,Unprovoked,NEW ZEALAND,Spearfishing,MALE,"FATAL, left leg bitten, femoral artery severed  ",YES
3459,1968,Unprovoked,USA,Playing with a frisbee in the shallows,UNKNOWN,"Shark bumped Colleen, the nudged Scott, then bit Frisbee & swam away with it",NO
3460,1968,Unprovoked,USA,Standing,MALE,Leg & arm bitten,NO
3461,1968,Unprovoked,FRENCH POLYNESIA,Swimming,MALE,Finger severed,NO
3462,1968,Unprovoked,MALAYSIA,Leaving the water,UNKNOWN,Hand lacerated,NO
3463,1968,Unprovoked,COLUMBIA,Dynamite fishing,MALE,Lacerations to head,NO
3464,1968,Unprovoked,USA,Free diving,MALE,Major injury to torso,NO
3465,1968,Unprovoked,USA,Wading,MALE,Abrasions on lower leg,NO
3466,1968,Unprovoked,USA,Spearfishing using Scuba,MALE,Swimfin & knee bitten,NO
3467,1968,Unprovoked,BAHAMAS,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,MALE,"FATAL, taken by shark  ",YES
3468,1968,Invalid,MEXICO,UNKNOWN,MALE,No injury,UNKNOWN
3469,1968,Unprovoked,BAHAMAS,Spearfishing,MALE,"Bumped shoulder, bit head",NO
3470,1968,Unprovoked,USA,Clamming,MALE,Lacerations to lower right leg & andkle,NO
3471,1968,Unprovoked,ENGLAND,UNKNOWN,MALE,Arm severely lacerated,NO
3472,1968,Invalid,TANZANIA,Schooner sank during a storm,UNKNOWN,"6 people rescued, 3 shark-scavenged bodies recovered, 14 people lost ",UNKNOWN
3473,1968,Unprovoked,PAPUA NEW GUINEA,Standing,MALE,Lower leg severely lacerated,NO
3474,1968,Invalid,USA,Wading,MALE,Foot severely injured,UNKNOWN
3475,1968,Unprovoked,USA,UNKNOWN,MALE,"Buttock, both legs & arm bitten",NO
3476,1968,Unprovoked,AUSTRALIA,"Diving. Shark swallowed his hand, so he threw his other around the shark and went shark-back riding for 30 yards until the shark opened its jaws",MALE,Hand lacerated,NO
